fr;de;thema
onze;elf;Zahlen 11-20
douze;zwölf;Zahlen 11-20
treize;dreizehn;Zahlen 11-20
quatorze;vierzehn;Zahlen 11-20
quinze;fünfzehn;Zahlen 11-20
seize;sechzehn;Zahlen 11-20
dix-sept;siebzehn;Zahlen 11-20
dix-huit;achtzehn;Zahlen 11-20
dix-neuf;neunzehn;Zahlen 11-20
vingt;zwanzig;Zahlen 11-20
vingt-et-un;einundzwanzig;Zahlen erweitert
soixante-six;sechsundsechzig;Zahlen erweitert
soixante-dix;siebzig;Zahlen erweitert
quatre-vingts;achtzig;Zahlen erweitert
quatre-vingt-dix-neuf;neunundneunzig;Zahlen erweitert
cent;hundert;Zahlen erweitert
calculer;rechnen;Verben
